,Element ID,Centroid Z,Normal Factor
0,2903,5500.0,-1
1,2904,6500.000000000001,-1
2,2905,7500.000000000001,-1
3,2906,8500.0,-1
4,2907,9500.000000000002,-1
5,2908,5499.999999999999,-1
6,2909,6500.000000000003,-1
7,2910,7500.000000000002,-1
8,2911,8500.000000000002,-1
9,2912,9499.999999999998,-1
10,2913,5500.000000000002,-1
11,2914,6500.000000000002,-1
12,2915,7500.0,-1
13,2916,8500.000000000002,-1
14,2917,9500.000000000002,-1
15,2918,5500.000000000001,-1
16,2919,6500.0,-1
17,2920,7500.000000000001,-1
18,2921,8499.999999999998,-1
19,2922,9500.000000000002,-1
20,2923,5500.0,-1
21,2924,6500.0,-1
22,2925,7500.0,-1
23,2926,8500.000000000002,-1
24,2927,9500.0,-1
25,2928,9502.313072048637,-1
26,2929,9506.946371602302,-1
27,2930,9511.579670515068,-1
28,2931,9516.212968768525,-1
29,2932,9520.846266343542,-1
30,2933,8506.939216145913,-1
31,2934,8520.839114806904,-1
32,2935,8534.739011545205,-1
33,2936,8548.638906305572,-1
34,2937,8562.538799030624,-1
35,2938,7511.565360243188,-1
36,2939,7534.731858011507,-1
37,2940,7557.898352575343,-1
38,2941,7581.064843842621,-1
39,2942,7604.231331717711,-1
40,2943,6516.191504340465,-1
41,2944,6548.62460121611,-1
42,2945,6581.057693605482,-1
43,2946,6613.490781379671,-1
44,2947,6645.9238644047955,-1
45,2948,5520.81764843774,-1
46,2949,5562.517344420716,-1
47,2950,5604.217034635621,-1
48,2951,5645.916718916719,-1
49,2952,5687.616397091879,-1
50,2953,4650.703372350051,-1
51,2954,4673.863012095933,-1
52,2955,4697.02342903854,-1
53,2956,4720.18450099464,-1
54,2957,4743.34613011697,-1
55,2958,3743.2499999997453,-1
56,2959,3743.249999999747,-1
57,2960,3743.2499999997467,-1
58,2961,3743.249999999747,-1
59,2962,3743.249999999748,-1
60,2963,2673.749999999818,-1
61,2964,2673.749999999817,-1
62,2965,2673.749999999818,-1
63,2966,2673.7499999998186,-1
64,2967,2673.7499999998195,-1
65,2968,1604.2499999998904,-1
66,2969,1604.2499999998897,-1
67,2970,1604.2499999998886,-1
68,2971,1604.2499999998893,-1
69,2972,1604.2499999998927,-1
