,Element ID,Centroid Z,Normal Factor
0,6553,19496.517005147565,-1
1,6554,19489.567114006313,-1
2,6555,19482.61721994042,-1
3,6556,19475.66732306619,-1
4,6557,19468.717423493825,-1
5,6558,18489.551015442685,-1
6,6559,18468.70134201894,-1
7,6560,18447.851659821266,-1
8,6561,18427.001969198565,-1
9,6562,18406.15227048148,-1
10,6563,17482.585025737804,-1
11,6564,17447.83557003156,-1
12,6565,17413.08609970211,-1
13,6566,17378.336615330947,-1
14,6567,17343.587117469142,-1
15,6568,16475.619036032927,-1
16,6569,16426.96979804419,-1
17,6570,16378.320539582954,-1
18,6571,16329.671261463322,-1
19,6572,16281.021964456797,-1
20,6573,15474.556207464982,-1
21,6574,15423.589912374679,-1
22,6575,15372.623624334241,-1
23,6576,15321.657343546227,-1
24,6577,15270.691070221033,-1
25,6578,14479.182351562258,-1
26,6579,14437.482655579279,-1
27,6580,14395.782965364378,-1
28,6581,14354.083281083278,-1
29,6582,14312.383602908118,-1
30,6583,13483.808495659532,-1
31,6584,13451.375398783885,-1
32,6585,13418.942306394514,-1
33,6586,13386.509218620324,-1
34,6587,13354.076135595202,-1
35,6588,12488.43463975681,-1
36,6589,12465.268141988487,-1
37,6590,12442.101647424652,-1
38,6591,12418.935156157373,-1
39,6592,12395.768668282288,-1
40,6593,11493.060783854085,-1
41,6594,11479.16088519309,-1
42,6595,11465.26098845479,-1
43,6596,11451.36109369442,-1
44,6597,11437.46120096937,-1
45,6598,10497.686927951361,-1
46,6599,10493.053628397696,-1
47,6600,10488.420329484929,-1
48,6601,10483.787031231474,-1
49,6602,10479.153733656452,-1
50,6603,19465.250000000036,-1
51,6604,19465.25000000004,-1
52,6605,19465.25000000004,-1
53,6606,19465.25000000004,-1
54,6607,19465.25000000004,-1
55,6608,18395.75000000011,-1
56,6609,18395.750000000116,-1
57,6610,18395.75000000012,-1
58,6611,18395.75000000012,-1
59,6612,18395.750000000113,-1
60,6613,17326.250000000182,-1
61,6614,17326.250000000182,-1
62,6615,17326.25000000019,-1
63,6616,17326.250000000193,-1
64,6617,17326.250000000193,-1
65,6618,16256.750000000251,-1
66,6619,16256.750000000255,-1
67,6620,16256.750000000262,-1
68,6621,16256.750000000266,-1
69,6622,16256.750000000266,-1
70,6623,15245.16666666693,-1
71,6624,15245.166666666935,-1
72,6625,15245.166666666939,-1
73,6626,15245.166666666943,-1
74,6627,15245.16666666695,-1
75,6628,14291.500000000218,-1
76,6629,14291.500000000222,-1
77,6630,14291.500000000224,-1
78,6631,14291.500000000227,-1
79,6632,14291.500000000233,-1
80,6633,13337.833333333507,-1
81,6634,13337.83333333351,-1
82,6635,13337.83333333351,-1
83,6636,13337.833333333512,-1
84,6637,13337.833333333516,-1
85,6638,12384.16666666679,-1
86,6639,12384.166666666788,-1
87,6640,12384.166666666793,-1
88,6641,12384.166666666795,-1
89,6642,12384.166666666797,-1
90,6643,11430.500000000073,-1
91,6644,11430.500000000075,-1
92,6645,11430.500000000073,-1
93,6646,11430.500000000076,-1
94,6647,11430.50000000008,-1
95,6648,10476.833333333358,-1
96,6649,10476.83333333336,-1
97,6650,10476.83333333336,-1
98,6651,10476.83333333336,-1
99,6652,10476.83333333336,-1
100,6653,9523.16666666664,-1
101,6654,8569.499999999925,-1
102,6655,7615.8333333332075,-1
103,6656,6662.1666666664905,-1
104,6657,5708.499999999774,-1
105,6658,4754.833333333057,-1
106,6659,3743.2499999997353,-1
107,6660,2673.7499999998095,-1
108,6661,1604.2499999998863,-1
109,6662,534.7499999999621,-1
110,6663,9523.166666666642,-1
111,6664,8569.499999999925,-1
112,6665,7615.8333333332075,-1
113,6666,6662.166666666489,-1
114,6667,5708.499999999775,-1
115,6668,4754.833333333059,-1
116,6669,3743.2499999997367,-1
117,6670,2673.7499999998113,-1
118,6671,1604.2499999998865,-1
119,6672,534.749999999962,-1
120,6673,9523.16666666664,-1
121,6674,8569.499999999925,-1
122,6675,7615.83333333321,-1
123,6676,6662.1666666664905,-1
124,6677,5708.499999999778,-1
125,6678,4754.833333333061,-1
126,6679,3743.2499999997403,-1
127,6680,2673.749999999813,-1
128,6681,1604.2499999998877,-1
129,6682,534.7499999999623,-1
130,6683,9523.166666666642,-1
131,6684,8569.499999999927,-1
132,6685,7615.833333333212,-1
133,6686,6662.166666666493,-1
134,6687,5708.49999999978,-1
135,6688,4754.833333333064,-1
136,6689,3743.249999999742,-1
137,6690,2673.7499999998154,-1
138,6691,1604.2499999998886,-1
139,6692,534.7499999999628,-1
140,6693,9523.16666666664,-1
141,6694,8569.499999999927,-1
142,6695,7615.833333333214,-1
143,6696,6662.166666666497,-1
144,6697,5708.499999999782,-1
145,6698,4754.8333333330675,-1
146,6699,3743.2499999997463,-1
147,6700,2673.749999999818,-1
148,6701,1604.24999999989,-1
149,6702,534.7499999999634,-1
150,6703,9520.846266343538,-1
151,6704,8562.538799030626,-1
152,6705,7604.231331717713,-1
153,6706,6645.923864404797,-1
154,6707,5687.616397091887,-1
155,6708,4729.308929778973,-1
156,6709,3718.978035543209,-1
157,6710,2656.412882530863,-1
158,6711,1593.8477295185166,-1
159,6712,531.2825765061718,-1
160,6713,9516.212968768525,-1
161,6714,8548.638906305576,-1
162,6715,7581.064843842624,-1
163,6716,6613.490781379674,-1
164,6717,5645.9167189167265,-1
165,6718,4678.342656453775,-1
166,6719,3670.32873853668,-1
167,6720,2621.663384669057,-1
168,6721,1572.9980308014324,-1
169,6722,524.33267693381,-1
170,6723,9511.57967051507,-1
171,6724,8534.739011545207,-1
172,6725,7557.898352575344,-1
173,6726,6581.057693605483,-1
174,6727,5604.217034635623,-1
175,6728,4627.376375665763,-1
176,6729,3621.6794604170495,-1
177,6730,2586.913900297892,-1
178,6731,1552.1483401787334,-1
179,6732,517.3827800595774,-1
180,6733,9506.946371602302,-1
181,6734,8520.839114806904,-1
182,6735,7534.731858011508,-1
183,6736,6548.624601216115,-1
184,6737,5562.5173444207185,-1
185,6738,4576.410087625324,-1
186,6739,3573.0302019558135,-1
187,6740,2552.164429968438,-1
188,6741,1531.2986579810613,-1
189,6742,510.43288599368657,-1
190,6743,9502.313072048635,-1
191,6744,8506.939216145913,-1
192,6745,7511.565360243189,-1
193,6746,6516.191504340465,-1
194,6747,5520.81764843774,-1
195,6748,4525.443792535016,-1
196,6749,3524.380963967071,-1
197,6750,2517.414974262194,-1
198,6751,1510.4489845573153,-1
199,6752,503.4829948524382,-1
200,7317,19496.517005147565,1
201,7318,19489.567114006313,1
202,7319,19482.61721994042,1
203,7320,19475.667323066187,1
204,7321,19468.71742349383,1
205,7322,18489.551015442685,1
206,7323,18468.701342018936,1
207,7324,18447.851659821266,1
208,7325,18427.001969198565,1
209,7326,18406.152270481485,1
210,7327,17482.585025737804,1
211,7328,17447.83557003156,1
212,7329,17413.08609970211,1
213,7330,17378.336615330943,1
214,7331,17343.587117469146,1
215,7332,16475.619036032927,1
216,7333,16426.969798044185,1
217,7334,16378.320539582954,1
218,7335,16329.671261463327,1
219,7336,16281.021964456804,1
220,7337,15474.556207464984,1
221,7338,15423.589912374677,1
222,7339,15372.623624334243,1
223,7340,15321.657343546229,1
224,7341,15270.691070221039,1
225,7342,14479.182351562264,1
226,7343,14437.482655579282,1
227,7344,14395.78296536438,1
228,7345,14354.083281083282,1
229,7346,14312.383602908125,1
230,7347,13483.808495659536,1
231,7348,13451.375398783888,1
232,7349,13418.94230639452,1
233,7350,13386.509218620327,1
234,7351,13354.076135595207,1
235,7352,12488.43463975681,1
236,7353,12465.268141988488,1
237,7354,12442.101647424655,1
238,7355,12418.935156157373,1
239,7356,12395.76866828229,1
240,7357,11493.060783854087,1
241,7358,11479.160885193094,1
242,7359,11465.260988454793,1
243,7360,11451.361093694426,1
244,7361,11437.461200969372,1
245,7362,10497.686927951365,1
246,7363,10493.053628397698,1
247,7364,10488.42032948493,1
248,7365,10483.787031231475,1
249,7366,10479.153733656458,1
250,7367,19465.250000000036,1
251,7368,19465.250000000036,1
252,7369,19465.25000000004,1
253,7370,19465.25000000004,1
254,7371,19465.250000000033,1
255,7372,18395.750000000106,1
256,7373,18395.750000000106,1
257,7374,18395.75000000011,1
258,7375,18395.75000000011,1
259,7376,18395.750000000106,1
260,7377,17326.250000000182,1
261,7378,17326.250000000182,1
262,7379,17326.250000000182,1
263,7380,17326.25000000018,1
264,7381,17326.250000000182,1
265,7382,16256.750000000253,1
266,7383,16256.750000000255,1
267,7384,16256.750000000258,1
268,7385,16256.750000000258,1
269,7386,16256.750000000258,1
270,7387,15245.166666666928,1
271,7388,15245.166666666932,1
272,7389,15245.166666666937,1
273,7390,15245.166666666937,1
274,7391,15245.166666666943,1
275,7392,14291.500000000216,1
276,7393,14291.500000000218,1
277,7394,14291.50000000022,1
278,7395,14291.500000000224,1
279,7396,14291.500000000226,1
280,7397,13337.833333333503,1
281,7398,13337.833333333503,1
282,7399,13337.833333333509,1
283,7400,13337.833333333507,1
284,7401,13337.833333333509,1
285,7402,12384.166666666788,1
286,7403,12384.166666666788,1
287,7404,12384.166666666792,1
288,7405,12384.166666666795,1
289,7406,12384.166666666795,1
290,7407,11430.500000000073,1
291,7408,11430.500000000071,1
292,7409,11430.500000000071,1
293,7410,11430.500000000073,1
294,7411,11430.500000000075,1
295,7412,10476.833333333358,1
296,7413,10476.833333333358,1
297,7414,10476.833333333356,1
298,7415,10476.833333333356,1
299,7416,10476.833333333358,1
300,7417,9520.846266343538,1
301,7418,8562.538799030623,1
302,7419,7604.231331717709,1
303,7420,6645.923864404791,1
304,7421,5687.616397091878,1
305,7422,4729.308929778959,1
306,7423,3718.9780355431944,1
307,7424,2656.4128825308535,1
308,7425,1593.847729518512,1
309,7426,531.2825765061709,1
310,7427,9516.212968768521,1
311,7428,8548.638906305569,1
312,7429,7581.064843842619,1
313,7430,6613.490781379669,1
314,7431,5645.9167189167165,1
315,7432,4678.342656453766,1
316,7433,3670.328738536669,1
317,7434,2621.663384669049,1
318,7435,1572.9980308014294,1
319,7436,524.3326769338092,1
320,7437,9511.579670515066,1
321,7438,8534.739011545202,1
322,7439,7557.89835257534,1
323,7440,6581.0576936054795,1
324,7441,5604.217034635618,1
325,7442,4627.376375665755,1
326,7443,3621.679460417042,1
327,7444,2586.913900297886,1
328,7445,1552.1483401787314,1
329,7446,517.3827800595769,1
330,7447,9506.946371602302,1
331,7448,8520.839114806902,1
332,7449,7534.731858011507,1
333,7450,6548.624601216112,1
334,7451,5562.517344420717,1
335,7452,4576.410087625318,1
336,7453,3573.0302019558085,1
337,7454,2552.164429968435,1
338,7455,1531.2986579810604,1
339,7456,510.4328859936863,1
340,7457,9502.313072048635,1
341,7458,8506.939216145913,1
342,7459,7511.565360243188,1
343,7460,6516.191504340465,1
344,7461,5520.81764843774,1
345,7462,4525.443792535015,1
346,7463,3524.380963967069,1
347,7464,2517.414974262192,1
348,7465,1510.4489845573148,1
349,7466,503.48299485243814,1
350,7467,9523.166666666639,1
351,7468,8569.499999999925,1
352,7469,7615.83333333321,1
